n,s0
798,75
799,76
800,77
801,78
802,79
803,80
804,81
805,82
806,84
807,85
808,86
809,87
810,31
811,31
812,32
813,31
814,31
815,33
816,34
817,34
818,35
819,31
820,31
821,32
822,31
823,31
824,33
825,34
826,34
827,35
828,31
829,31
830,32
831,31
832,32
833,34
834,35
835,35
836,37
837,32
838,33
839,34
840,32
841,33
842,34
843,35
844,36
845,37
846,32
847,33
848,34
849,32
850,33
851,34
852,35
853,36
854,37
855,32
856,33
857,34
858,33
859,34
860,35
861,36
862,37
863,38
864,66
865,67
866,68
867,69
868,70
869,71
870,72
871,73
872,74
873,75
874,76
875,77
876,78
877,79
878,80
879,81
880,82
881,83
882,84
883,85
884,87
885,88
886,89
887,90
888,91
889,92
890,93
891,34
892,34
893,36
894,37
895,37
896,38
897,39
898,40
899,41
900,34
901,34
902,36
903,37
904,37
905,38
906,39
907,40
908,41
909,34
910,35
911,37
912,38
913,38
914,40
915,41
916,41
917,43
918,35
919,36
920,37
921,38
922,39
923,40
924,41
925,42
926,43
927,35
928,36
929,37
930,38
931,39
932,40
933,41
934,42
935,43
936,36
937,37
938,38
939,39
940,40
941,41
942,42
943,43
944,44
945,99
946,99
947,100
948,102
949,102
950,103
951,105
952,105
953,106
954,108
955,108
956,109
957,111
958,111
959,112
960,114
961,114
962,116
963,118
964,118
965,119
966,120
967,121
968,122
969,123
970,123
971,125
972,37
973,37
974,38
975,37
976,37
977,38
978,37
979,37
980,39
981,37
982,37
983,38
984,37
985,37
986,38
987,37
988,38
989,40
990,38
991,39
992,40
993,38
994,39
995,40
996,38
997,39
998,40
999,38
1000,39
1001,40
1002,38
1003,39
1004,40
1005,38
1006,39
1007,40
1008,38
1009,39
1010,40
1011,38
1012,39
1013,40
1014,39
1015,40
1016,41
1017,42
1018,43
1019,44
1020,45
1021,46
1022,47
1023,48
1024,49
1025,50
1026,78
1027,79
1028,80
1029,81
1030,82
1031,83
1032,84
1033,85
1034,86
1035,87
1036,88
1037,89
1038,90
1039,91
1040,93
1041,94
1042,95
1043,96
1044,96
1045,97
1046,99
1047,99
1048,100
1049,102
1050,102
1051,103
1052,105
1053,40
1054,40
1055,41
1056,40
1057,40
1058,42
1059,43
1060,43
1061,44
1062,40
1063,40
1064,41
1065,40
1066,41
1067,43
1068,44
1069,44
1070,46
1071,41
1072,42
1073,43
1074,41
1075,42
1076,43
1077,44
1078,45
1079,46
1080,41
1081,42
1082,43
1083,41
1084,42
1085,43
1086,44
1087,45
1088,46
1089,41
1090,42
1091,43
1092,42
1093,43
1094,44
1095,45
1096,46
1097,47
1098,48
1099,49
1100,50
1101,51
1102,52
1103,53
1104,54
1105,55
1106,56
1107,84
1108,85
1109,86
1110,87
1111,88
1112,89
1113,90
1114,91
1115,92
1116,93
1117,94
1118,96
1119,97
1120,98
1121,99
1122,100
1123,101
1124,102
1125,102
1126,103
1127,105
1128,105
1129,106
1130,108
1131,108
1132,109
1133,111
1134,43
1135,43
1136,45
1137,46
1138,46
1139,47
1140,48
1141,49
1142,50
1143,43
1144,44
1145,46
1146,47
1147,47
1148,49
1149,50
1150,50
1151,52
1152,44
1153,45
1154,46
1155,47
1156,48
1157,49
1158,50
1159,51
1160,52
1161,44
1162,45
1163,46
1164,47
1165,48
1166,49
1167,50
1168,51
1169,52
1170,45
1171,46
1172,47
1173,48
1174,49
1175,50
1176,51
1177,52
1178,53
1179,54
1180,55
1181,56
1182,57
1183,58
1184,59
1185,60
1186,61
1187,62
1188,117
1189,117
1190,118
1191,120
1192,120
1193,121
1194,123
1195,123
1196,125
1197,127
1198,127
1199,128
1200,129
1201,130
1202,131
1203,132
1204,132
1205,134
1206,135
1207,135
1208,137
1209,138
1210,138
1211,140
1212,141
1213,141
1214,143
1215,46
1216,46
1217,47
1218,46
1219,46
1220,47
1221,46
1222,47
1223,49
1224,47
1225,48
1226,49
1227,47
1228,48
1229,49
1230,47
1231,48
1232,49
1233,47
1234,48
1235,49
1236,47
1237,48
1238,49
1239,47
1240,48
1241,49
1242,47
1243,48
1244,49
1245,47
1246,48
1247,49
1248,48
1249,49
1250,50
1251,51
1252,52
1253,53
1254,54
1255,55
1256,56
1257,57
1258,58
1259,59
1260,60
1261,61
1262,62
1263,63
1264,64
1265,65
1266,66
1267,67
1268,68
1269,96
1270,97
1271,98
1272,99
1273,100
1274,102
1275,103
1276,104
1277,105
1278,105
1279,106
1280,108
1281,108
1282,109
1283,111
1284,111
1285,112
1286,114
1287,114
1288,115
1289,117
1290,117
1291,118
1292,120
1293,120
1294,121
1295,123
1296,49
1297,49
1298,50
1299,49
1300,50
1301,52
1302,53
1303,53
1304,55
1305,50
1306,51
1307,52
1308,50
1309,51
1310,52
1311,53
1312,54
1313,55
1314,50
1315,51
1316,52
1317,50
1318,51
1319,52
1320,53
1321,54
1322,55
1323,50
1324,51
1325,52
1326,51
1327,52
1328,53
1329,54
1330,55
1331,56
1332,57
1333,58
1334,59
1335,60
1336,61
1337,62
1338,63
1339,64
1340,65
1341,66
1342,67
1343,68
1344,69
1345,70
1346,71
1347,72
1348,73
1349,74
1350,102
1351,103
1352,105
1353,106
1354,107
1355,108
1356,109
1357,110
1358,111
1359,111
1360,112
1361,114
1362,114
1363,115
1364,117
1365,117
1366,118
1367,120
1368,120
1369,121
1370,123
1371,123
1372,124
1373,126
1374,126
1375,127
1376,129
1377,52
1378,53
1379,55
1380,56
1381,56
1382,58
1383,59
1384,59
1385,61
1386,53
1387,54
1388,55
1389,56
1390,57
1391,58
1392,59
1393,60
1394,61
1395,53
1396,54
1397,55
1398,56
1399,57
1400,58
1401,59
1402,60
1403,61
1404,54
1405,55
1406,56
1407,57
1408,58
1409,59
1410,60
1411,61
1412,62
1413,63
1414,64
1415,65
1416,66
1417,67
1418,68
1419,69
1420,70
1421,71
1422,72
1423,73
1424,74
1425,75
1426,76
1427,77
1428,78
1429,79
1430,81
1431,136
1432,136
1433,137
1434,138
1435,139
1436,140
1437,141
1438,141
1439,143
1440,144
1441,144
1442,146
1443,147
1444,147
1445,149
1446,150
1447,150
1448,152
1449,153
1450,153
1451,155
1452,156
1453,156
1454,158
1455,159
1456,160
1457,162
1458,56
1459,57
1460,58
1461,56
1462,57
1463,58
1464,56
1465,57
1466,58
1467,56
1468,57
1469,58
1470,56
1471,57
1472,58
1473,56
1474,57
1475,58
1476,56
1477,57
1478,58
1479,56
1480,57
1481,58
1482,57
1483,58
1484,59
1485,87
1486,88
1487,89
1488,90
1489,91
1490,92
1491,93
1492,94
1493,95
1494,96
1495,97
1496,98
1497,99
1498,100
1499,101
1500,102
1501,103
1502,104
1503,105
1504,106
1505,107
1506,108
1507,109
1508,111
1509,112
1510,113
1511,114
1512,115
1513,116
1514,120
1515,118
1516,119
1517,123
1518,121
1519,122
1520,126
1521,124
1522,125
1523,129
1524,127
1525,128
1526,132
1527,130
1528,131
1529,135
1530,133
1531,134
1532,138
1533,136
1534,138
1535,142
1536,140
1537,141
1538,145
1539,59
1540,60
1541,61
1542,59
1543,60
1544,61
1545,62
1546,63
1547,64
1548,59
1549,60
1550,61
1551,59
1552,60
1553,61
1554,62
1555,63
1556,64
1557,59
1558,60
1559,61
1560,60
1561,61
1562,62
1563,63
1564,64
1565,65
1566,93
1567,94
1568,95
1569,96
1570,97
1571,98
1572,99
1573,100
1574,101
1575,102
1576,103
1577,104
1578,105
1579,106
1580,107
1581,108
1582,109
1583,110
1584,111
1585,112
1586,114
1587,115
1588,116
1589,117
1590,118
1591,119
1592,120
1593,121
1594,122
1595,150
1596,124
1597,125
1598,153
1599,127
1600,128
1601,156
1602,130
1603,131
1604,159
1605,133
1606,134
1607,162
1608,136
1609,137
1610,165
1611,139
1612,141
1613,169
1614,143
1615,144
1616,172
1617,146
1618,147
1619,175
1620,62
1621,63
1622,64
1623,65
1624,66
1625,67
1626,68
1627,69
1628,70
1629,62
1630,63
1631,64
1632,65
1633,66
1634,67
1635,68
1636,69
1637,70
1638,63
1639,64
1640,65
1641,66
1642,67
1643,68
1644,69
1645,70
1646,71
1647,99
1648,126
1649,128
1650,102
1651,129
1652,131
1653,105
1654,132
1655,134
1656,108
1657,135
1658,137
1659,111
1660,138
1661,140
1662,114
1663,141
1664,144
1665,118
1666,145
1667,147
1668,121
1669,148
1670,150
1671,124
1672,151
1673,153
1674,154
1675,155
1676,156
1677,157
1678,158
1679,159
1680,160
1681,161
1682,162
1683,163
1684,164
1685,165
1686,166
1687,167
1688,168
1689,169
1690,171
1691,172
1692,172
1693,174
1694,175
1695,175
1696,177
1697,178
1698,178
1699,180
1700,181
1701,65
1702,66
1703,67
1704,65
1705,66
1706,67
1707,65
1708,66
1709,67
1710,65
1711,66
1712,67
1713,65
1714,66
1715,67
1716,66
1717,67
1718,68
1719,69
1720,70
1721,71
1722,72
1723,73
1724,74
1725,75
1726,76
1727,77
1728,105
1729,106
1730,107
1731,108
1732,109
1733,110
1734,111
1735,112
1736,113
1737,114
1738,115
1739,116
1740,117
1741,118
1742,120
1743,121
1744,122
1745,123
1746,123
1747,124
1748,126
1749,126
1750,127
1751,129
1752,129
1753,130
1754,132
1755,133
1756,134
1757,138
1758,136
1759,137
1760,141
1761,139
1762,140
1763,144
1764,142
1765,143
1766,147
1767,145
1768,147
1769,151
1770,149
1771,150
1772,154
1773,151
1774,153
1775,156
1776,154
1777,156
1778,159
1779,157
1780,159
1781,162
1782,68
1783,69
1784,70
1785,68
1786,69
1787,70
1788,71
1789,72
1790,73
1791,68
1792,69
1793,70
1794,69
1795,70
1796,71
1797,72
1798,73
1799,74
1800,75
1801,76
1802,77
1803,78
1804,79
1805,80
1806,81
1807,82
1808,83
1809,111
1810,112
1811,113
1812,114
1813,115
1814,116
1815,117
1816,118
1817,119
1818,120
1819,121
1820,123
1821,124
1822,125
1823,126
1824,127
1825,128
1826,129
1827,129
1828,130
1829,132
1830,132
1831,133
1832,135
1833,135
1834,136
1835,138
1836,139
1837,140
1838,168
1839,142
1840,143
1841,171
1842,145
1843,146
1844,174
1845,148
1846,150
1847,178
1848,152
1849,153
1850,181
1851,155
1852,156
1853,184
1854,157
1855,159
1856,187
1857,160
1858,162
1859,190
1860,163
1861,165
1862,193
1863,71
1864,72
1865,73
1866,74
1867,75
1868,76
1869,77
1870,78
1871,79
1872,72
1873,73
1874,74
1875,75
1876,76
1877,77
1878,78
1879,79
1880,80
1881,81
1882,82
1883,83
1884,84
1885,85
1886,86
1887,87
1888,88
1889,89
1890,117
1891,144
1892,146
1893,120
1894,147
1895,149
1896,123
1897,150
1898,153
1899,127
1900,154
1901,156
1902,130
1903,157
1904,159
1905,133
1906,160
1907,162
1908,136
1909,163
1910,164
1911,139
1912,166
1913,167
1914,142
1915,169
1916,171
1917,172
1918,173
1919,174
1920,175
1921,176
1922,177
1923,178
1924,180
1925,181
1926,181
1927,183
1928,184
1929,184
1930,186
1931,187
1932,187
1933,189
1934,190
1935,190
1936,191
1937,193
1938,193
1939,194
1940,196
1941,196
1942,198
1943,199
1944,74
1945,75
1946,76
1947,74
1948,75
1949,76
1950,75
1951,76
1952,77
1953,78
1954,79
1955,80
1956,81
1957,82
1958,83
1959,84
1960,85
1961,86
1962,87
1963,88
1964,89
1965,90
1966,91
1967,92
1968,93
1969,94
1970,95
1971,123
1972,124
1973,125
1974,126
1975,127
1976,129
1977,130
1978,131
1979,132
1980,132
1981,133
1982,135
1983,135
1984,136
1985,138
1986,138
1987,139
1988,141
1989,141
1990,142
1991,144
1992,144
1993,145
1994,147
1995,147
1996,148
1997,150
1998,151
1999,152
2000,156
2001,154
2002,156
2003,160
2004,158
2005,159
2006,163
2007,160
2008,162
2009,165
2010,163
2011,165
2012,168
2013,166
2014,168
2015,171
2016,169
2017,171
2018,174
2019,172
2020,174
2021,177
2022,175
2023,177
2024,180
2025,77
2026,78
2027,79
2028,78
2029,79
2030,80
2031,81
2032,82
2033,83
2034,84
2035,85
2036,86
2037,87
2038,88
2039,89
2040,90
2041,91
2042,92
2043,93
2044,94
2045,95
2046,96
2047,97
2048,98
2049,99
2050,100
2051,101
2052,129
2053,130
2054,132
2055,133
2056,134
2057,135
2058,136
2059,137
2060,138
2061,138
2062,139
2063,141
