x, n0
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 1
9, 1
10, 1
11, 2
12, 1
13, 1
14, 2
15, 1
16, 2
17, 3
18, 2
19, 3
20, 4
21, 2
22, 3
23, 4
24, 3
25, 4
26, 5
27, 3
28, 3
29, 3
30, 3
31, 3
32, 4
33, 4
34, 4
35, 5
36, 4
37, 4
38, 5
39, 4
40, 5
41, 6
42, 5
43, 6
44, 7
45, 5
46, 6
47, 7
48, 6
49, 7
50, 8
51, 9
52, 10
53, 11
54, 6
55, 6
56, 7
57, 7
58, 7
59, 8
60, 7
61, 7
62, 8
63, 7
64, 8
65, 9
66, 8
67, 9
68, 10
69, 8
70, 9
71, 10
72, 9
73, 10
74, 11
75, 12
76, 13
77, 14
78, 15
79, 16
80, 18
81, 10
82, 10
83, 11
84, 10
85, 10
86, 11
87, 10
88, 11
89, 12
90, 11
91, 12
92, 13
93, 11
94, 12
95, 13
96, 12
97, 13
98, 14
99, 24
100, 25
101, 26
102, 27
103, 28
104, 30
105, 31
106, 31
107, 33
108, 13
109, 13
110, 14
111, 13
112, 14
113, 15
114, 14
115, 15
116, 16
117, 14
118, 15
119, 16
120, 15
121, 16
122, 17
123, 18
124, 19
125, 20
126, 30
127, 31
128, 33
129, 34
130, 34
131, 36
132, 36
133, 37
134, 39
135, 16
136, 17
137, 18
138, 17
139, 18
140, 19
141, 17
142, 18
143, 19
144, 18
145, 19
146, 20
147, 21
148, 22
149, 23
150, 24
151, 25
152, 27
153, 37
154, 37
155, 39
156, 39
157, 40
158, 42
159, 42
160, 44
161, 46
162, 20
163, 21
164, 22
165, 20
166, 21
167, 22
168, 21
169, 22
170, 23
171, 33
172, 34
173, 35
174, 36
175, 37
176, 39
177, 40
178, 40
179, 42
180, 43
181, 44
182, 48
183, 46
184, 48
185, 52
186, 49
187, 51
188, 54
189, 23
190, 24
191, 25
192, 24
193, 25
194, 26
195, 27
196, 28
197, 29
198, 39
199, 40
200, 42
201, 43
202, 43
203, 45
204, 45
205, 46
206, 48
207, 49
208, 51
209, 55
210, 52
211, 54
212, 57
213, 55
214, 57
215, 60
216, 27
217, 28
218, 29
219, 30
220, 31
221, 32
222, 33
223, 34
224, 36
225, 46
226, 46
227, 48
228, 48
229, 49
230, 51
231, 51
232, 53
233, 55
234, 55
235, 57
236, 67
237, 58
238, 60
239, 70
240, 62
241, 64
242, 74
243, 30
244, 30
245, 30
246, 30
247, 30
248, 31
249, 31
250, 31
251, 32
252, 31
253, 31
254, 32
255, 31
256, 32
257, 33
258, 32
259, 33
260, 34
261, 32
262, 33
263, 34
264, 33
265, 34
266, 35
267, 36
268, 37
269, 38
270, 33
271, 33
272, 34
273, 34
274, 34
275, 35
276, 34
277, 34
278, 35
279, 34
280, 35
281, 36
282, 35
283, 36
284, 37
285, 35
286, 36
287, 37
288, 36
289, 37
290, 38
291, 39
292, 40
293, 41
294, 42
295, 43
296, 45
297, 37
298, 37
299, 38
300, 37
301, 37
302, 38
303, 37
304, 38
305, 39
306, 38
307, 39
308, 40
309, 38
310, 39
311, 40
312, 39
313, 40
314, 41
315, 51
316, 52
317, 53
318, 54
319, 55
320, 57
321, 58
322, 58
323, 60
324, 40
325, 40
326, 41
327, 40
328, 41
329, 42
330, 41
331, 42
332, 43
333, 41
334, 42
335, 43
336, 42
337, 43
338, 44
339, 45
340, 46
341, 47
342, 57
343, 58
344, 60
345, 61
346, 61
347, 63
348, 63
349, 64
350, 66
351, 43
352, 44
353, 45
354, 44
355, 45
356, 46
357, 44
358, 45
359, 46
360, 45
361, 46
362, 47
363, 48
364, 49
365, 50
366, 51
367, 52
368, 54
369, 64
370, 64
371, 66
372, 66
373, 67
374, 69
375, 69
376, 71
377, 73
378, 47
379, 48
380, 49
381, 47
382, 48
383, 49
384, 48
385, 49
386, 50
387, 60
388, 61
389, 62
390, 63
391, 64
392, 66
393, 67
394, 67
395, 69
396, 70
397, 71
398, 75
399, 73
400, 75
401, 79
402, 76
403, 78
404, 81
405, 50
406, 51
407, 52
408, 51
409, 52
410, 53
411, 54
412, 55
413, 56
414, 66
415, 67
416, 69
417, 70
418, 70
419, 72
420, 72
421, 73
422, 75
423, 76
424, 78
425, 82
