x, n0
639, 27
640, 26
641, 26
642, 26
643, 26
644, 27
645, 26
646, 26
647, 26
648, 27
649, 28
650, 27
651, 27
652, 27
653, 28
654, 29
655, 27
656, 27
657, 27
658, 28
659, 29
660, 27
661, 27
662, 27
663, 28
664, 29
665, 27
666, 27
667, 27
668, 28
669, 29
670, 27
671, 27
672, 28
673, 29
674, 30
675, 28
676, 28
677, 29
678, 30
679, 31
680, 28
681, 28
682, 29
683, 30
684, 31
685, 28
686, 28
687, 29
688, 30
689, 31
690, 28
691, 28
692, 29
693, 30
694, 31
695, 28
696, 29
697, 30
698, 31
699, 32
700, 29
701, 30
702, 31
703, 32
704, 33
705, 29
706, 30
707, 31
708, 32
709, 33
710, 29
711, 30
712, 31
713, 32
714, 33
715, 29
716, 30
717, 31
718, 32
719, 33
720, 30
721, 31
722, 32
723, 33
724, 34
725, 60
726, 61
727, 62
728, 63
729, 64
730, 65
731, 66
732, 67
733, 68
734, 69
735, 70
736, 71
737, 72
738, 73
739, 74
740, 75
741, 76
742, 77
743, 78
744, 80
745, 81
746, 82
747, 83
748, 83
749, 85
750, 31
751, 31
752, 31
753, 31
754, 32
755, 31
756, 31
757, 31
758, 31
759, 32
760, 31
761, 31
762, 31
763, 31
764, 32
765, 31
766, 31
767, 31
768, 32
769, 33
770, 32
771, 32
772, 32
773, 33
774, 34
775, 32
776, 32
777, 32
778, 33
779, 34
780, 32
781, 32
782, 32
783, 33
784, 34
785, 32
786, 32
787, 32
788, 33
789, 34
790, 32
791, 32
792, 33
793, 34
794, 35
795, 33
796, 33
797, 34
798, 35
799, 36
800, 33
801, 33
802, 34
803, 35
804, 36
805, 33
806, 33
807, 34
808, 35
809, 36
810, 33
811, 33
812, 34
813, 35
814, 36
815, 33
816, 34
817, 35
818, 36
819, 37
820, 34
821, 35
822, 36
823, 37
824, 38
825, 34
826, 35
827, 36
828, 37
829, 38
830, 34
831, 35
832, 36
833, 37
834, 38
835, 34
836, 35
837, 36
838, 37
839, 38
840, 35
841, 36
842, 37
843, 38
844, 39
845, 40
846, 41
847, 42
848, 43
849, 44
850, 70
851, 71
852, 72
853, 73
854, 74
855, 75
856, 76
857, 77
858, 78
859, 79
860, 80
861, 81
862, 82
863, 83
864, 85
865, 86
866, 87
867, 88
868, 88
869, 90
870, 90
871, 91
872, 92
873, 93
874, 95
875, 36
876, 36
877, 36
878, 36
879, 37
880, 36
881, 36
882, 36
883, 36
884, 37
885, 36
886, 36
887, 36
888, 37
889, 38
890, 37
891, 37
892, 37
893, 38
894, 39
895, 37
896, 37
897, 37
898, 38
899, 39
900, 37
901, 37
902, 37
903, 38
904, 39
905, 37
906, 37
907, 37
908, 38
909, 39
910, 37
911, 37
912, 38
913, 39
914, 40
915, 38
916, 38
917, 39
918, 40
919, 41
920, 38
921, 38
922, 39
923, 40
924, 41
925, 38
926, 38
927, 39
928, 40
929, 41
930, 38
931, 38
932, 39
933, 40
934, 41
935, 38
936, 39
937, 40
938, 41
939, 42
940, 39
941, 40
942, 41
943, 42
944, 43
945, 39
946, 40
947, 41
948, 42
949, 43
950, 39
951, 40
952, 41
953, 42
954, 43
955, 39
956, 40
957, 41
958, 42
959, 43
960, 40
961, 41
962, 42
963, 43
964, 44
965, 45
966, 46
967, 47
968, 48
969, 49
970, 50
971, 51
972, 52
973, 53
974, 54
975, 80
976, 81
977, 82
978, 83
979, 84
980, 85
981, 86
982, 87
983, 88
984, 90
985, 91
986, 92
987, 93
988, 93
989, 95
990, 95
991, 96
992, 97
993, 98
994, 100
995, 100
996, 101
997, 102
998, 103
999, 105
1000, 41
1001, 41
1002, 41
1003, 41
1004, 42
1005, 41
1006, 41
1007, 41
1008, 42
1009, 43
1010, 42
1011, 42
1012, 42
1013, 43
1014, 44
1015, 42
1016, 42
1017, 42
1018, 43
1019, 44
1020, 42
1021, 42
1022, 42
1023, 43
1024, 44
1025, 42
1026, 42
1027, 42
1028, 43
1029, 44
1030, 42
1031, 42
1032, 43
1033, 44
1034, 45
1035, 43
1036, 43
1037, 44
1038, 45
1039, 46
1040, 43
1041, 43
1042, 44
1043, 45
1044, 46
1045, 43
1046, 43
1047, 44
1048, 45
1049, 46
1050, 43
1051, 43
1052, 44
1053, 45
1054, 46
1055, 43
1056, 44
1057, 45
1058, 46
1059, 47
1060, 44
1061, 45
1062, 46
1063, 47
1064, 48
1065, 44
1066, 45
1067, 46
1068, 47
1069, 48
1070, 44
1071, 45
1072, 46
1073, 47
1074, 48
1075, 44
1076, 45
1077, 46
1078, 47
1079, 48
1080, 45
1081, 46
1082, 47
1083, 48
1084, 49
1085, 50
1086, 51
1087, 52
1088, 53
1089, 54
1090, 55
1091, 56
1092, 57
1093, 58
1094, 59
1095, 60
1096, 61
1097, 62
1098, 63
1099, 64
1100, 90
1101, 91
1102, 92
1103, 93
1104, 95
1105, 96
1106, 97
1107, 98
1108, 98
1109, 100
1110, 100
1111, 101
1112, 102
1113, 103
1114, 105
1115, 105
1116, 106
1117, 107
1118, 108
1119, 110
1120, 110
1121, 111
1122, 112
1123, 113
1124, 115
1125, 46
1126, 46
1127, 46
1128, 47
1129, 48
1130, 47
1131, 47
1132, 47
1133, 48
1134, 49
1135, 47
1136, 47
1137, 47
1138, 48
1139, 49
1140, 47
1141, 47
1142, 47
1143, 48
1144, 49
1145, 47
1146, 47
1147, 47
1148, 48
1149, 49
1150, 47
1151, 47
1152, 48
1153, 49
1154, 50
1155, 48
1156, 48
1157, 49
1158, 50
1159, 51
1160, 48
1161, 48
1162, 49
1163, 50
1164, 51
1165, 48
1166, 48
1167, 49
1168, 50
1169, 51
1170, 48
1171, 48
1172, 49
1173, 50
1174, 51
1175, 48
1176, 49
1177, 50
1178, 51
1179, 52
1180, 49
1181, 50
1182, 51
1183, 52
1184, 53
1185, 49
1186, 50
1187, 51
1188, 52
1189, 53
1190, 49
1191, 50
1192, 51
1193, 52
1194, 53
1195, 49
1196, 50
1197, 51
1198, 52
1199, 53
1200, 50
1201, 51
1202, 52
1203, 53
1204, 54
1205, 55
1206, 56
1207, 57
1208, 58
1209, 59
1210, 60
1211, 61
1212, 62
1213, 63
1214, 64
1215, 65
1216, 66
1217, 67
1218, 68
1219, 69
1220, 70
1221, 71
1222, 72
1223, 73
1224, 75
1225, 101
1226, 102
1227, 103
1228, 103
1229, 105
1230, 105
1231, 106
1232, 107
1233, 108
1234, 110
1235, 110
1236, 111
1237, 112
1238, 113
1239, 115
1240, 115
1241, 116
1242, 117
1243, 118
1244, 120
1245, 120
1246, 121
1247, 122
1248, 124
1249, 126
1250, 52
1251, 52
1252, 52
1253, 53
1254, 54
1255, 52
1256, 52
1257, 52
1258, 53
1259, 54
1260, 52
1261, 52
1262, 52
1263, 53
1264, 54
1265, 52
1266, 52
1267, 52
1268, 53
1269, 54
1270, 52
1271, 52
1272, 53
1273, 54
1274, 55
1275, 53
1276, 53
1277, 54
1278, 55
1279, 56
1280, 53
1281, 53
1282, 54
1283, 55
1284, 56
1285, 53
1286, 53
1287, 54
1288, 55
1289, 56
1290, 53
1291, 53
1292, 54
1293, 55
1294, 56
1295, 53
1296, 54
1297, 55
1298, 56
1299, 57
1300, 54
1301, 55
1302, 56
1303, 57
1304, 58
1305, 54
1306, 55
1307, 56
1308, 57
1309, 58
1310, 54
1311, 55
1312, 56
1313, 57
1314, 58
1315, 54
1316, 55
1317, 56
1318, 57
1319, 58
1320, 55
1321, 56
1322, 57
1323, 58
1324, 59
1325, 85
1326, 86
1327, 87
1328, 88
1329, 89
1330, 90
1331, 91
1332, 92
1333, 93
1334, 94
1335, 95
1336, 96
1337, 97
1338, 98
1339, 99
1340, 100
1341, 101
1342, 102
1343, 103
1344, 105
1345, 106
1346, 107
1347, 108
1348, 108
1349, 110
1350, 135
1351, 136
1352, 137
1353, 138
1354, 140
1355, 140
1356, 141
1357, 142
1358, 143
1359, 145
1360, 145
1361, 146
1362, 147
1363, 148
1364, 150
1365, 150
1366, 151
1367, 152
1368, 154
1369, 156
1370, 156
1371, 156
1372, 157
1373, 159
1374, 161
1375, 57
1376, 57
1377, 57
1378, 58
1379, 59
1380, 57
1381, 57
1382, 57
1383, 58
1384, 59
1385, 57
1386, 57
1387, 57
1388, 58
1389, 59
1390, 57
1391, 57
1392, 58
1393, 59
1394, 60
1395, 58
1396, 58
1397, 59
1398, 60
1399, 61
1400, 58
1401, 58
1402, 59
1403, 60
1404, 61
1405, 58
1406, 58
1407, 59
1408, 60
1409, 61
1410, 58
1411, 58
1412, 59
1413, 60
1414, 61
1415, 58
1416, 59
1417, 60
1418, 61
1419, 62
1420, 59
1421, 60
1422, 61
1423, 62
1424, 63
1425, 59
1426, 60
1427, 61
1428, 62
1429, 63
1430, 59
1431, 60
1432, 61
1433, 62
1434, 63
1435, 59
1436, 60
1437, 61
1438, 62
1439, 63
1440, 60
1441, 61
1442, 62
1443, 63
1444, 64
1445, 65
1446, 66
1447, 67
1448, 68
1449, 69
1450, 95
1451, 96
1452, 97
1453, 98
1454, 99
1455, 100
1456, 101
1457, 102
1458, 103
1459, 104
1460, 105
1461, 106
1462, 107
1463, 108
1464, 110
1465, 111
1466, 112
1467, 113
1468, 113
1469, 115
1470, 115
1471, 116
1472, 117
1473, 118
1474, 120
1475, 145
1476, 146
1477, 147
1478, 148
1479, 150
1480, 150
1481, 151
1482, 152
1483, 153
1484, 155
1485, 155
1486, 156
1487, 157
1488, 159
1489, 161
1490, 161
1491, 161
1492, 162
1493, 164
1494, 166
1495, 165
1496, 166
1497, 167
1498, 169
1499, 171
1500, 62
1501, 62
1502, 62
1503, 63
1504, 64
1505, 62
1506, 62
1507, 62
1508, 63
1509, 64
1510, 62
1511, 62
1512, 63
1513, 64
1514, 65
1515, 63
1516, 63
1517, 64
1518, 65
1519, 66
1520, 63
1521, 63
1522, 64
1523, 65
1524, 66
1525, 63
1526, 63
1527, 64
1528, 65
1529, 66
1530, 63
1531, 63
1532, 64
1533, 65
1534, 66
1535, 63
1536, 64
1537, 65
1538, 66
1539, 67
1540, 64
1541, 65
1542, 66
1543, 67
1544, 68
1545, 64
1546, 65
1547, 66
1548, 67
1549, 68
1550, 64
1551, 65
1552, 66
1553, 67
1554, 68
1555, 64
1556, 65
1557, 66
1558, 67
1559, 68
1560, 65
1561, 66
1562, 67
1563, 68
1564, 69
1565, 70
1566, 71
1567, 72
1568, 73
1569, 74
1570, 75
1571, 76
1572, 77
1573, 78
1574, 79
1575, 105
1576, 106
1577, 107
1578, 108
1579, 109
1580, 110
1581, 111
1582, 112
1583, 113
1584, 115
1585, 116
1586, 117
1587, 118
1588, 118
1589, 120
1590, 120
1591, 121
1592, 122
1593, 123
1594, 125
1595, 125
1596, 126
1597, 127
1598, 128
1599, 130
1600, 155
1601, 156
1602, 157
1603, 158
1604, 160
1605, 160
1606, 161
1607, 162
1608, 164
1609, 166
1610, 166
1611, 166
1612, 167
1613, 169
1614, 171
1615, 170
1616, 171
1617, 172
1618, 174
1619, 176
1620, 175
1621, 176
1622, 177
1623, 179
1624, 181
1625, 67
1626, 67
1627, 67
1628, 68
1629, 69
1630, 67
1631, 67
1632, 68
1633, 69
1634, 70
1635, 68
1636, 68
1637, 69
1638, 70
1639, 71
1640, 68
1641, 68
1642, 69
1643, 70
1644, 71
1645, 68
1646, 68
1647, 69
1648, 70
1649, 71
1650, 68
1651, 68
1652, 69
1653, 70
1654, 71
1655, 68
1656, 69
1657, 70
1658, 71
1659, 72
1660, 69
1661, 70
1662, 71
1663, 72
1664, 73
1665, 69
1666, 70
1667, 71
1668, 72
1669, 73
1670, 69
1671, 70
1672, 71
1673, 72
1674, 73
1675, 69
1676, 70
1677, 71
1678, 72
1679, 73
1680, 70
1681, 71
1682, 72
1683, 73
1684, 74
1685, 75
1686, 76
1687, 77
1688, 78
1689, 79
1690, 80
1691, 81
1692, 82
1693, 83
1694, 84
1695, 85
1696, 86
1697, 87
1698, 88
1699, 89
1700, 115
1701, 116
1702, 117
1703, 118
1704, 120
1705, 121
1706, 122
1707, 123
1708, 123
1709, 125
1710, 125
1711, 126
1712, 127
1713, 128
1714, 130
1715, 130
1716, 131
1717, 132
1718, 133
1719, 135
1720, 135
1721, 136
1722, 137
1723, 138
1724, 140
1725, 165
1726, 166
