x, n0
0, 0
1, 0
2, 0
3, 1
4, 1
5, 2
6, 2
7, 3
8, 2
9, 3
10, 3
11, 4
12, 4
13, 5
14, 6
15, 8
16, 5
17, 6
18, 6
19, 7
20, 12
21, 14
22, 14
23, 16
24, 8
25, 9
26, 10
27, 12
28, 16
29, 18
30, 19
31, 21
32, 10
33, 11
34, 11
35, 12
36, 12
37, 13
38, 14
39, 16
40, 13
41, 14
42, 14
43, 15
44, 20
45, 22
46, 22
47, 24
48, 16
49, 17
50, 18
51, 20
52, 24
53, 26
54, 27
55, 29
56, 30
57, 34
58, 33
59, 38
60, 40
61, 43
62, 42
63, 48
64, 21
65, 22
66, 22
67, 23
68, 28
69, 30
70, 30
71, 32
72, 24
73, 25
74, 26
75, 28
76, 32
77, 34
78, 35
79, 37
80, 54
81, 58
82, 57
83, 62
84, 64
85, 67
86, 66
87, 72
88, 71
89, 76
90, 76
91, 80
92, 80
93, 86
94, 85
95, 90
96, 32
97, 33
98, 34
99, 36
100, 40
101, 42
102, 43
103, 45
104, 46
105, 50
106, 49
107, 54
108, 56
109, 59
110, 58
111, 64
112, 73
113, 78
114, 80
115, 83
116, 82
117, 88
118, 93
119, 98
120, 92
121, 96
122, 96
123, 102
124, 101
125, 106
126, 110
127, 117
128, 42
129, 43
130, 43
131, 44
132, 44
133, 45
134, 46
135, 48
136, 45
137, 46
138, 46
139, 47
140, 52
141, 54
142, 54
143, 56
144, 48
145, 49
146, 50
147, 52
148, 56
149, 58
150, 59
151, 61
152, 62
153, 66
154, 65
155, 70
156, 72
157, 75
158, 74
159, 80
160, 53
161, 54
162, 54
163, 55
164, 60
165, 62
166, 62
167, 64
168, 56
169, 57
170, 58
171, 60
172, 64
173, 66
174, 67
175, 69
176, 86
177, 90
178, 89
179, 94
180, 96
181, 99
182, 98
183, 104
184, 103
185, 108
186, 108
187, 112
188, 112
189, 118
190, 117
191, 122
192, 64
193, 65
194, 66
195, 68
196, 72
197, 74
198, 75
199, 77
200, 78
201, 82
202, 81
203, 86
204, 88
205, 91
206, 90
207, 96
208, 105
209, 110
210, 112
211, 115
212, 114
213, 120
214, 125
215, 130
216, 124
217, 128
218, 128
219, 134
220, 133
221, 138
222, 142
223, 149
224, 136
225, 138
226, 141
227, 146
228, 164
229, 173
230, 174
231, 183
232, 155
233, 156
234, 158
235, 165
236, 182
237, 192
238, 193
239, -1
240, 170
241, 187
242, 178
243, 190
244, -1
245, -1
246, -1
247, -1
248, 188
249, -1
250, 197
251, -1
252, -1
253, -1
254, -1
255, -1
256, 85
257, 86
258, 86
259, 87
260, 92
261, 94
262, 94
263, 96
264, 88
265, 89
266, 90
267, 92
268, 96
269, 98
270, 99
271, 101
272, 118
273, 122
274, 121
275, 126
276, 128
277, 131
278, 130
279, 136
280, 135
281, 140
282, 140
283, 144
284, 144
285, 150
286, 149
287, 154
288, 96
289, 97
290, 98
291, 100
292, 104
293, 106
294, 107
295, 109
296, 110
297, 114
298, 113
299, 118
300, 120
301, 123
302, 122
303, 128
304, 137
305, 142
306, 144
307, 147
308, 146
309, 152
310, 157
311, 162
312, 156
313, 160
314, 160
315, 166
316, 165
317, 170
318, 174
319, 181
320, -1
321, -1
322, -1
323, -1
324, -1
325, -1
326, -1
327, -1
328, -1
329, -1
330, -1
331, -1
332, -1
333, -1
334, -1
335, -1
336, -1
337, -1
338, -1
339, -1
340, -1
341, -1
342, -1
343, -1
344, -1
345, -1
346, -1
347, -1
348, -1
349, -1
350, -1
351, -1
352, -1
353, -1
354, -1
355, -1
356, -1
357, -1
358, -1
359, -1
360, -1
361, -1
362, -1
363, -1
364, -1
365, -1
366, -1
367, -1
368, -1
369, -1
370, -1
371, -1
372, -1
373, -1
374, -1
375, -1
376, -1
377, -1
378, -1
379, -1
380, -1
381, -1
382, -1
383, -1
384, 128
385, 129
386, 130
387, 132
388, 136
389, 138
390, 139
391, 141
392, 142
393, 146
394, 145
395, 150
396, 152
397, 155
398, 154
399, 160
400, 169
401, 174
402, 176
403, 179
404, 178
405, 184
406, 189
407, 194
408, 188
409, 192
410, 192
411, 198
412, 197
413, -1
414, -1
415, -1
416, 200
417, -1
418, -1
419, -1
420, -1
421, -1
422, -1
423, -1
424, -1
425, -1
