x, n0
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 1
7, 1
8, 1
9, 1
10, 1
11, 1
12, 2
13, 3
14, 2
15, 2
16, 2
17, 2
18, 3
19, 4
20, 5
21, 3
22, 3
23, 3
24, 4
25, 5
26, 6
27, 7
28, 4
29, 4
30, 5
31, 6
32, 7
33, 8
34, 9
35, 5
36, 6
37, 7
38, 8
39, 9
40, 10
41, 11
42, 7
43, 8
44, 9
45, 10
46, 11
47, 12
48, 14
49, 8
50, 8
51, 8
52, 8
53, 8
54, 9
55, 10
56, 9
57, 9
58, 9
59, 9
60, 10
61, 11
62, 12
63, 10
64, 10
65, 10
66, 11
67, 12
68, 13
69, 14
70, 11
71, 11
72, 12
73, 13
74, 14
75, 15
76, 16
77, 12
78, 13
79, 14
80, 15
81, 16
82, 17
83, 18
84, 14
85, 15
86, 16
87, 17
88, 18
89, 19
90, 21
91, 29
92, 30
93, 31
94, 32
95, 33
96, 34
97, 36
98, 16
99, 16
100, 16
101, 16
102, 17
103, 18
104, 19
105, 17
106, 17
107, 17
108, 18
109, 19
110, 20
111, 21
112, 18
113, 18
114, 19
115, 20
116, 21
117, 22
118, 23
119, 19
120, 20
121, 21
122, 22
123, 23
124, 24
125, 25
126, 21
127, 22
128, 23
129, 24
130, 25
131, 26
132, 28
133, 36
134, 37
135, 38
136, 39
137, 40
138, 41
139, 43
140, 50
141, 51
142, 52
143, 52
144, 54
145, 56
146, 58
147, 24
148, 24
149, 24
150, 25
151, 26
152, 27
153, 28
154, 25
155, 25
156, 26
157, 27
158, 28
159, 29
160, 30
161, 26
162, 27
163, 28
164, 29
165, 30
166, 31
167, 32
168, 28
169, 29
170, 30
171, 31
172, 32
173, 33
174, 35
175, 43
176, 44
177, 45
178, 46
179, 47
180, 48
181, 50
182, 57
183, 58
184, 59
185, 59
186, 61
187, 63
188, 65
189, 71
190, 71
191, 72
192, 74
193, 76
194, 78
195, 80
196, 32
197, 32
198, 33
199, 34
200, 35
201, 36
202, 37
203, 33
204, 34
205, 35
206, 36
207, 37
208, 38
209, 39
210, 35
211, 36
212, 37
213, 38
214, 39
215, 40
216, 42
217, 50
218, 51
219, 52
220, 53
221, 54
222, 55
223, 57
224, 64
225, 65
226, 66
227, 66
228, 68
229, 70
230, 72
231, 78
232, 78
233, 79
234, 81
235, 83
236, 85
237, 87
238, 85
239, 86
240, 88
241, 90
242, 92
243, 94
244, 99
245, 40
246, 41
247, 42
248, 43
249, 44
250, 45
251, 46
252, 42
253, 43
254, 44
255, 45
256, 46
257, 47
258, 49
259, 57
260, 58
261, 59
262, 60
263, 61
264, 62
265, 64
266, 71
267, 72
268, 73
269, 73
270, 75
271, 77
272, 79
273, 79
274, 80
275, 80
276, 82
277, 84
278, 92
279, 93
280, 92
281, 93
282, 95
283, 97
284, 99
285, 106
286, 106
287, 100
288, 102
289, 104
290, 106
291, 113
292, 113
293, 114
294, 49
295, 50
296, 51
297, 52
298, 53
299, 54
300, 56
301, 64
302, 65
303, 66
304, 67
305, 68
306, 69
307, 71
308, 72
309, 73
310, 74
311, 75
312, 76
313, 78
314, 86
315, 86
316, 87
317, 87
318, 89
319, 91
320, 93
321, 101
322, 94
323, 94
324, 96
325, 98
326, 100
327, 108
328, 116
329, 107
330, 109
331, 111
332, 113
333, 115
334, 123
335, 131
336, 116
337, 118
338, 120
339, 122
340, 130
341, 138
342, 147
343, 57
344, 57
345, 57
346, 57
347, 57
348, 58
349, 59
350, 58
351, 58
352, 58
353, 58
354, 59
355, 60
356, 61
357, 59
358, 59
359, 59
360, 60
361, 61
362, 62
363, 63
364, 60
365, 60
366, 61
367, 62
368, 63
369, 64
370, 65
371, 61
372, 62
373, 63
374, 64
375, 65
376, 66
377, 67
378, 63
379, 64
380, 65
381, 66
382, 67
383, 68
384, 70
385, 78
386, 79
387, 80
388, 81
389, 82
390, 83
391, 85
392, 65
393, 65
394, 65
395, 65
396, 66
397, 67
398, 68
399, 66
400, 66
401, 66
402, 67
403, 68
404, 69
405, 70
406, 67
407, 67
408, 68
409, 69
410, 70
411, 71
412, 72
413, 68
414, 69
415, 70
416, 71
417, 72
418, 73
419, 74
420, 70
421, 71
422, 72
423, 73
424, 74
425, 75
