x, n0
639, 81
640, 82
641, 83
642, 84
643, 85
644, 86
645, 87
646, 88
647, 89
648, 90
649, 92
650, 105
651, 106
652, 107
653, 108
654, 109
655, 110
656, 111
657, 112
658, 113
659, 113
660, 115
661, 117
662, 119
663, 131
664, 132
665, 133
666, 134
667, 135
668, 136
669, 137
670, 137
671, 138
672, 140
673, 142
674, 144
675, 146
676, 56
677, 56
678, 56
679, 56
680, 56
681, 56
682, 56
683, 56
684, 57
685, 58
686, 59
687, 60
688, 61
689, 57
690, 57
691, 57
692, 57
693, 57
694, 57
695, 57
696, 58
697, 59
698, 60
699, 61
700, 62
701, 63
702, 58
703, 58
704, 58
705, 58
706, 58
707, 58
708, 59
709, 60
710, 61
711, 62
712, 63
713, 64
714, 65
715, 59
716, 59
717, 59
718, 59
719, 59
720, 60
721, 61
722, 62
723, 63
724, 64
725, 65
726, 66
727, 67
728, 60
729, 60
730, 60
731, 60
732, 61
733, 62
734, 63
735, 64
736, 65
737, 66
738, 67
739, 68
740, 69
741, 61
742, 61
743, 61
744, 62
745, 63
746, 64
747, 65
748, 66
749, 67
750, 68
751, 69
752, 70
753, 71
754, 62
755, 62
756, 63
757, 64
758, 65
759, 66
760, 67
761, 68
762, 69
763, 70
764, 71
765, 72
766, 73
767, 63
768, 64
769, 65
770, 66
771, 67
772, 68
773, 69
774, 70
775, 71
776, 72
777, 73
778, 74
779, 75
780, 65
781, 66
782, 67
783, 68
784, 69
785, 70
786, 71
787, 72
788, 73
789, 74
790, 75
791, 76
792, 78
793, 92
794, 93
795, 94
796, 95
797, 96
798, 97
799, 98
800, 99
801, 100
802, 101
803, 102
804, 103
805, 105
806, 118
807, 119
808, 120
809, 121
810, 122
811, 123
812, 124
813, 125
814, 126
815, 126
816, 128
817, 130
818, 132
819, 144
820, 145
821, 146
822, 147
823, 148
824, 149
825, 150
826, 150
827, 151
828, 153
829, 155
830, 157
831, 159
832, 170
833, 171
834, 172
835, 173
836, 174
837, 174
838, 175
839, 176
840, 178
841, 180
842, 182
843, 184
844, 186
845, 70
846, 70
847, 70
848, 70
849, 70
850, 70
851, 70
852, 71
853, 72
854, 73
855, 74
856, 75
857, 76
858, 71
859, 71
860, 71
861, 71
862, 71
863, 71
864, 72
865, 73
866, 74
867, 75
868, 76
869, 77
870, 78
871, 72
872, 72
873, 72
874, 72
875, 72
876, 73
877, 74
878, 75
879, 76
880, 77
881, 78
882, 79
883, 80
884, 73
885, 73
886, 73
887, 73
888, 74
889, 75
890, 76
891, 77
892, 78
893, 79
894, 80
895, 81
896, 82
897, 74
898, 74
899, 74
900, 75
901, 76
902, 77
903, 78
904, 79
905, 80
906, 81
907, 82
908, 83
909, 84
910, 75
911, 75
912, 76
913, 77
914, 78
915, 79
916, 80
917, 81
918, 82
919, 83
920, 84
921, 85
922, 86
923, 76
924, 77
925, 78
926, 79
927, 80
928, 81
929, 82
930, 83
931, 84
932, 85
933, 86
934, 87
935, 88
936, 78
937, 79
938, 80
939, 81
940, 82
941, 83
942, 84
943, 85
944, 86
945, 87
946, 88
947, 89
948, 91
949, 105
950, 106
951, 107
952, 108
953, 109
954, 110
955, 111
956, 112
957, 113
958, 114
959, 115
960, 116
961, 118
962, 131
963, 132
964, 133
965, 134
966, 135
967, 136
968, 137
969, 138
970, 139
971, 139
972, 141
973, 143
974, 145
975, 157
976, 158
977, 159
978, 160
979, 161
980, 162
981, 163
982, 163
983, 164
984, 166
985, 168
986, 170
987, 172
988, 183
989, 184
990, 185
991, 186
992, 187
993, 187
994, 188
995, 189
996, 191
997, 193
998, 195
999, 197
1000, 199
1001, -1
1002, -1
1003, -1
1004, -1
1005, -1
1006, -1
1007, -1
1008, -1
1009, -1
1010, -1
1011, -1
1012, -1
1013, -1
1014, 84
1015, 84
1016, 84
1017, 84
1018, 84
1019, 84
1020, 85
1021, 86
1022, 87
1023, 88
1024, 89
1025, 90
1026, 91
1027, 85
1028, 85
1029, 85
1030, 85
1031, 85
1032, 86
1033, 87
1034, 88
1035, 89
1036, 90
1037, 91
1038, 92
1039, 93
1040, 86
1041, 86
1042, 86
1043, 86
1044, 87
1045, 88
1046, 89
1047, 90
1048, 91
1049, 92
1050, 93
1051, 94
1052, 95
1053, 87
1054, 87
1055, 87
1056, 88
1057, 89
1058, 90
1059, 91
1060, 92
1061, 93
1062, 94
1063, 95
1064, 96
1065, 97
1066, 88
1067, 88
1068, 89
1069, 90
1070, 91
1071, 92
1072, 93
1073, 94
1074, 95
1075, 96
1076, 97
1077, 98
1078, 99
1079, 89
1080, 90
1081, 91
1082, 92
1083, 93
1084, 94
1085, 95
1086, 96
1087, 97
1088, 98
1089, 99
1090, 100
1091, 101
1092, 91
1093, 92
1094, 93
1095, 94
1096, 95
1097, 96
1098, 97
1099, 98
1100, 99
1101, 100
1102, 101
1103, 102
1104, 104
1105, 118
1106, 119
1107, 120
1108, 121
1109, 122
1110, 123
1111, 124
1112, 125
1113, 126
1114, 127
1115, 128
1116, 129
1117, 131
1118, 144
1119, 145
1120, 146
1121, 147
1122, 148
1123, 149
1124, 150
1125, 151
1126, 152
1127, 152
1128, 154
1129, 156
1130, 158
1131, 170
1132, 171
1133, 172
1134, 173
1135, 174
1136, 175
1137, 176
1138, 176
1139, 177
1140, 179
1141, 181
1142, 183
1143, 185
1144, 196
1145, 197
1146, 198
1147, 199
1148, 200
1149, 200
1150, -1
1151, -1
1152, -1
1153, -1
1154, -1
1155, -1
1156, -1
1157, -1
1158, -1
1159, -1
1160, -1
1161, -1
1162, -1
1163, -1
1164, -1
1165, -1
1166, -1
1167, -1
1168, -1
1169, -1
1170, -1
1171, -1
1172, -1
1173, -1
1174, -1
1175, -1
1176, -1
1177, -1
1178, -1
1179, -1
1180, -1
1181, -1
1182, -1
1183, 98
1184, 98
1185, 98
1186, 98
1187, 98
1188, 99
1189, 100
1190, 101
1191, 102
1192, 103
1193, 104
1194, 105
1195, 106
1196, 99
1197, 99
1198, 99
1199, 99
1200, 100
1201, 101
1202, 102
1203, 103
1204, 104
1205, 105
1206, 106
1207, 107
1208, 108
1209, 100
1210, 100
1211, 100
1212, 101
1213, 102
1214, 103
1215, 104
1216, 105
1217, 106
1218, 107
1219, 108
1220, 109
1221, 110
1222, 101
1223, 101
1224, 102
1225, 103
1226, 104
1227, 105
1228, 106
1229, 107
1230, 108
1231, 109
1232, 110
1233, 111
1234, 112
1235, 102
1236, 103
1237, 104
1238, 105
1239, 106
1240, 107
1241, 108
1242, 109
1243, 110
1244, 111
1245, 112
1246, 113
1247, 114
1248, 104
1249, 105
1250, 106
1251, 107
1252, 108
1253, 109
1254, 110
1255, 111
1256, 112
1257, 113
1258, 114
1259, 115
1260, 117
1261, 131
1262, 132
1263, 133
1264, 134
1265, 135
1266, 136
1267, 137
1268, 138
1269, 139
1270, 140
1271, 141
1272, 142
1273, 144
1274, 157
1275, 158
1276, 159
1277, 160
1278, 161
1279, 162
1280, 163
1281, 164
1282, 165
1283, 165
1284, 167
1285, 169
1286, 171
1287, 183
1288, 184
1289, 185
1290, 186
1291, 187
1292, 188
1293, 189
1294, 189
1295, 190
1296, 192
1297, 194
1298, 196
1299, 198
1300, -1
1301, -1
1302, -1
1303, -1
1304, -1
1305, -1
1306, -1
1307, -1
1308, -1
1309, -1
1310, -1
1311, -1
1312, -1
1313, -1
1314, -1
1315, -1
1316, -1
1317, -1
1318, -1
1319, -1
1320, -1
1321, -1
1322, -1
1323, -1
1324, -1
1325, -1
1326, -1
1327, -1
1328, -1
1329, -1
1330, -1
1331, -1
1332, -1
1333, -1
1334, -1
1335, -1
1336, -1
1337, -1
1338, -1
1339, -1
1340, -1
1341, -1
1342, -1
1343, -1
1344, -1
1345, -1
1346, -1
1347, -1
1348, -1
1349, -1
1350, -1
1351, -1
1352, 112
1353, 112
1354, 112
1355, 112
1356, 113
1357, 114
1358, 115
1359, 116
1360, 117
1361, 118
1362, 119
1363, 120
1364, 121
1365, 113
1366, 113
1367, 113
1368, 114
1369, 115
1370, 116
1371, 117
1372, 118
1373, 119
1374, 120
1375, 121
1376, 122
1377, 123
1378, 114
1379, 114
1380, 115
1381, 116
1382, 117
1383, 118
1384, 119
1385, 120
1386, 121
1387, 122
1388, 123
1389, 124
1390, 125
1391, 115
1392, 116
1393, 117
1394, 118
1395, 119
1396, 120
1397, 121
1398, 122
1399, 123
1400, 124
1401, 125
1402, 126
1403, 127
1404, 117
1405, 118
1406, 119
1407, 120
1408, 121
1409, 122
1410, 123
1411, 124
1412, 125
1413, 126
1414, 127
1415, 128
1416, 130
1417, 144
1418, 145
1419, 146
1420, 147
1421, 148
1422, 149
1423, 150
1424, 151
1425, 152
1426, 153
1427, 154
1428, 155
1429, 157
1430, 170
1431, 171
1432, 172
1433, 173
1434, 174
1435, 175
1436, 176
1437, 177
1438, 178
1439, 178
1440, 180
1441, 182
1442, 184
1443, 196
1444, 197
1445, 198
1446, 199
1447, 200
1448, -1
1449, -1
1450, -1
1451, -1
1452, -1
1453, -1
1454, -1
1455, -1
1456, -1
1457, -1
1458, -1
1459, -1
1460, -1
1461, -1
1462, -1
1463, -1
1464, -1
1465, -1
1466, -1
1467, -1
1468, -1
1469, -1
1470, -1
1471, -1
1472, -1
1473, -1
1474, -1
1475, -1
1476, -1
1477, -1
1478, -1
1479, -1
1480, -1
1481, -1
1482, -1
1483, -1
1484, -1
1485, -1
1486, -1
1487, -1
1488, -1
1489, -1
1490, -1
1491, -1
1492, -1
1493, -1
1494, -1
1495, -1
1496, -1
1497, -1
1498, -1
1499, -1
1500, -1
1501, -1
1502, -1
1503, -1
1504, -1
1505, -1
1506, -1
1507, -1
1508, -1
1509, -1
1510, -1
1511, -1
1512, -1
1513, -1
1514, -1
1515, -1
1516, -1
1517, -1
1518, -1
1519, -1
1520, -1
1521, 126
1522, 126
1523, 126
1524, 127
1525, 128
1526, 129
1527, 130
1528, 131
1529, 132
1530, 133
1531, 134
1532, 135
1533, 136
1534, 127
1535, 127
1536, 128
1537, 129
1538, 130
1539, 131
1540, 132
1541, 133
1542, 134
1543, 135
1544, 136
1545, 137
1546, 138
1547, 128
1548, 129
1549, 130
1550, 131
1551, 132
1552, 133
1553, 134
1554, 135
1555, 136
1556, 137
1557, 138
1558, 139
1559, 140
1560, 130
1561, 131
1562, 132
1563, 133
1564, 134
1565, 135
1566, 136
1567, 137
1568, 138
1569, 139
1570, 140
1571, 141
1572, 143
1573, 157
1574, 158
1575, 159
1576, 160
1577, 161
1578, 162
1579, 163
1580, 164
1581, 165
1582, 166
1583, 167
1584, 168
1585, 170
1586, 183
1587, 184
1588, 185
1589, 186
1590, 187
1591, 188
1592, 189
1593, 190
1594, 191
1595, 191
1596, 193
1597, 195
1598, 197
