x, n0
639, -1
640, 91
641, 92
642, 93
643, 94
644, 92
645, 93
646, 94
647, 95
648, 104
649, 105
650, 106
651, 108
652, 109
653, 110
654, 111
655, 112
656, 121
657, 122
658, 124
659, 125
660, 124
661, 125
662, 128
663, 129
664, 130
665, 140
666, 133
667, 142
668, 135
669, 142
670, 137
671, 146
672, 96
673, 97
674, 98
675, 99
676, 100
677, 101
678, 102
679, 104
680, 113
681, 121
682, 115
683, 123
684, 117
685, 125
686, 120
687, 128
688, 130
689, 131
690, 132
691, 133
692, 132
693, 134
694, 137
695, 138
696, 139
697, 147
698, 141
699, 150
700, 144
701, 151
702, 146
703, 155
704, -1
705, -1
706, -1
707, -1
708, -1
709, -1
710, -1
711, -1
712, -1
713, -1
714, -1
715, -1
716, -1
717, -1
718, -1
719, -1
720, -1
721, -1
722, -1
723, -1
724, -1
725, -1
726, -1
727, -1
728, -1
729, -1
730, -1
731, -1
732, -1
733, -1
734, -1
735, -1
736, -1
737, -1
738, -1
739, -1
740, -1
741, -1
742, -1
743, -1
744, -1
745, -1
746, -1
747, -1
748, -1
749, -1
750, -1
751, -1
752, -1
753, -1
754, -1
755, -1
756, -1
757, -1
758, -1
759, -1
760, -1
761, -1
762, -1
763, -1
764, -1
765, -1
766, -1
767, -1
768, 109
769, 110
770, 110
771, 111
772, 112
773, 113
774, 114
775, 115
776, 124
777, 126
778, 127
779, 128
780, 128
781, 130
782, 130
783, 132
784, 112
785, 113
786, 114
787, 115
788, 116
789, 117
790, 118
791, 120
792, 129
793, 130
794, 131
795, 132
796, 133
797, 134
798, 136
799, 137
800, 146
801, 147
802, 148
803, 149
804, 148
805, 150
806, 153
807, 154
808, 162
809, 163
810, 165
811, 166
812, 166
813, 167
814, 170
815, 171
816, 172
817, 179
818, 181
819, 184
820, 177
821, 184
822, 187
823, 188
824, 187
825, 196
826, 192
827, -1
828, 192
829, -1
830, 196
831, -1
832, -1
833, -1
834, -1
835, -1
836, -1
837, -1
838, -1
839, -1
840, -1
841, -1
842, -1
843, -1
844, -1
845, -1
846, -1
847, -1
848, -1
849, -1
850, -1
851, -1
852, -1
853, -1
854, -1
855, -1
856, -1
857, -1
858, -1
859, -1
860, -1
861, -1
862, -1
863, -1
864, -1
865, -1
866, -1
867, -1
868, -1
869, -1
870, -1
871, -1
872, -1
873, -1
874, -1
875, -1
876, -1
877, -1
878, -1
879, -1
880, -1
881, -1
882, -1
883, -1
884, -1
885, -1
886, -1
887, -1
888, -1
889, -1
890, -1
891, -1
892, -1
893, -1
894, -1
895, -1
896, 128
897, 129
898, 130
899, 131
900, 132
901, 133
902, 134
903, 136
