n,s0
798,63
799,49
800,50
801,51
802,52
803,53
804,54
805,55
806,56
807,57
808,58
809,59
810,60
811,61
812,62
813,63
814,64
815,65
816,51
817,52
818,53
819,54
820,55
821,56
822,57
823,58
824,59
825,60
826,61
827,62
828,63
829,64
830,65
831,66
832,68
833,86
834,87
835,88
836,89
837,90
838,91
839,92
840,93
841,94
842,95
843,96
844,97
845,98
846,99
847,100
848,101
849,103
850,120
851,121
852,122
853,123
854,124
855,125
856,126
857,127
858,128
859,129
860,130
861,131
862,132
863,132
864,134
865,136
866,138
867,54
868,54
869,54
870,54
871,54
872,54
873,54
874,54
875,54
876,54
877,54
878,54
879,54
880,55
881,56
882,57
883,58
884,55
885,55
886,55
887,55
888,55
889,55
890,55
891,55
892,55
893,55
894,55
895,55
896,56
897,57
898,58
899,59
900,60
901,56
902,56
903,56
904,56
905,56
906,56
907,56
908,56
909,56
910,56
911,56
912,57
913,58
914,59
915,60
916,61
917,62
918,57
919,57
920,57
921,57
922,57
923,57
924,57
925,57
926,57
927,57
928,58
929,59
930,60
931,61
932,62
933,63
934,64
935,58
936,58
937,58
938,58
939,58
940,58
941,58
942,58
943,58
944,59
945,60
946,61
947,62
948,63
949,64
950,65
951,66
952,59
953,59
954,59
955,59
956,59
957,59
958,59
959,59
960,60
961,61
962,62
963,63
964,64
965,65
966,66
967,67
968,68
969,60
970,60
971,60
972,60
973,60
974,60
975,60
976,61
977,62
978,63
979,64
980,65
981,66
982,67
983,68
984,69
985,70
986,61
987,61
988,61
989,61
990,61
991,61
992,62
993,63
994,64
995,65
996,66
997,67
998,68
999,69
1000,70
1001,71
1002,72
1003,62
1004,62
1005,62
1006,62
1007,62
1008,63
1009,64
1010,65
1011,66
1012,67
1013,68
1014,69
1015,70
1016,71
1017,72
1018,73
1019,74
1020,63
1021,63
1022,63
1023,63
1024,64
1025,65
1026,66
1027,67
1028,68
1029,69
1030,70
1031,71
1032,72
1033,73
1034,74
1035,75
1036,76
1037,64
1038,64
1039,64
1040,65
1041,66
1042,67
1043,68
1044,69
1045,70
1046,71
1047,72
1048,73
1049,74
1050,75
1051,76
1052,77
1053,78
1054,65
1055,65
1056,66
1057,67
1058,68
1059,69
1060,70
1061,71
1062,72
1063,73
1064,74
1065,75
1066,76
1067,77
1068,78
1069,79
1070,80
1071,66
1072,67
1073,68
