n,s0
0,0
1,1
2,2
3,4
4,4
5,6
6,9
7,12
8,8
9,10
10,13
11,16
12,22
13,25
14,26
15,32
16,16
17,18
18,21
19,24
20,30
21,33
22,34
23,40
24,48
25,52
26,56
27,64
28,60
29,66
30,69
31,80
32,32
33,34
34,37
35,40
36,46
37,49
38,50
39,56
40,64
41,68
42,72
43,80
44,76
45,82
46,85
47,96
48,104
49,106
50,113
51,120
52,122
53,134
54,140
55,152
56,129
57,136
58,148
59,160
60,156
61,164
62,176
63,192
64,64
65,66
66,69
67,72
68,78
69,81
70,82
71,88
72,96
73,100
74,104
75,112
76,108
77,114
78,117
79,128
80,136
81,138
82,145
83,152
84,154
85,166
86,172
87,184
88,161
89,168
90,180
91,192
92,188
93,196
94,208
95,224
96,214
97,222
98,232
99,243
100,242
101,246
102,258
103,272
104,264
105,275
106,298
107,312
108,302
109,324
110,328
111,352
112,274
113,281
114,290
115,304
116,324
117,340
118,344
119,368
120,334
121,356
122,360
123,384
124,385
125,394
126,-1
127,-1
128,128
129,130
130,133
131,136
132,142
133,145
134,146
135,152
136,160
137,164
138,168
139,176
140,172
141,178
142,181
143,192
144,200
145,202
146,209
147,216
148,218
149,230
150,236
151,248
152,225
153,232
154,244
155,256
156,252
157,260
158,272
159,288
160,278
161,286
162,296
163,307
164,306
165,310
166,322
167,336
168,328
169,339
170,362
171,376
172,366
173,388
174,392
175,-1
176,338
177,345
178,354
179,368
180,388
181,-1
182,-1
183,-1
184,398
185,-1
186,-1
187,-1
188,-1
189,-1
190,-1
191,-1
192,-1
193,-1
194,-1
195,-1
196,-1
197,-1
198,-1
199,-1
200,-1
201,-1
202,-1
203,-1
204,-1
205,-1
206,-1
207,-1
208,-1
209,-1
210,-1
211,-1
212,-1
213,-1
214,-1
215,-1
216,-1
217,-1
218,-1
219,-1
220,-1
221,-1
222,-1
223,-1
224,-1
225,-1
226,-1
227,-1
228,-1
229,-1
230,-1
231,-1
232,-1
233,-1
234,-1
235,-1
236,-1
237,-1
238,-1
239,-1
240,-1
241,-1
242,-1
243,-1
244,-1
245,-1
246,-1
247,-1
248,-1
249,-1
250,-1
251,-1
252,-1
253,-1
254,-1
255,-1
256,256
257,258
258,261
259,264
260,270
261,273
262,274
263,280
264,288
265,292
266,296
267,304
268,300
269,306
270,309
271,320
272,328
273,330
274,337
275,344
276,346
277,358
278,364
279,376
280,353
281,360
282,372
283,384
284,380
285,388
286,400
287,-1
288,-1
289,-1
290,-1
291,-1
292,-1
293,-1
294,-1
295,-1
296,-1
297,-1
298,-1
299,-1
300,-1
301,-1
302,-1
303,-1
304,-1
305,-1
306,-1
307,-1
308,-1
309,-1
310,-1
311,-1
312,-1
313,-1
314,-1
315,-1
316,-1
317,-1
318,-1
319,-1
320,-1
321,-1
322,-1
323,-1
324,-1
325,-1
326,-1
327,-1
328,-1
329,-1
330,-1
331,-1
332,-1
333,-1
334,-1
335,-1
336,-1
337,-1
338,-1
339,-1
340,-1
341,-1
342,-1
343,-1
344,-1
345,-1
346,-1
347,-1
348,-1
349,-1
350,-1
351,-1
352,-1
353,-1
354,-1
355,-1
356,-1
357,-1
358,-1
359,-1
360,-1
361,-1
362,-1
363,-1
364,-1
365,-1
366,-1
367,-1
368,-1
369,-1
370,-1
371,-1
372,-1
373,-1
374,-1
375,-1
376,-1
377,-1
378,-1
379,-1
380,-1
381,-1
382,-1
383,-1
384,-1
385,-1
386,-1
387,-1
388,-1
389,-1
390,-1
391,-1
392,-1
393,-1
394,-1
395,-1
396,-1
397,-1
398,-1
399,-1
