n,s0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,3
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,3
31,4
32,5
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,4
41,5
42,6
43,7
44,4
45,4
46,4
47,4
48,4
49,4
50,5
51,6
52,7
53,8
54,9
55,5
56,5
57,5
58,5
59,5
60,6
61,7
62,8
63,9
64,10
65,11
66,6
67,6
68,6
69,6
70,7
71,8
72,9
73,10
74,11
75,12
76,13
77,7
78,7
79,7
80,8
81,9
82,10
83,11
84,12
85,13
86,14
87,15
88,8
89,8
90,9
91,10
92,11
93,12
94,13
95,14
96,15
97,16
98,17
99,9
100,10
101,11
102,12
103,13
104,14
105,15
106,16
107,17
108,18
109,19
110,11
111,12
112,13
113,14
114,15
115,16
116,17
117,18
118,19
119,20
120,22
121,12
122,12
123,12
124,12
125,12
126,12
127,12
128,12
129,12
130,13
131,14
132,13
133,13
134,13
135,13
136,13
137,13
138,13
139,13
140,14
141,15
142,16
143,14
144,14
145,14
146,14
147,14
148,14
149,14
150,15
151,16
152,17
153,18
154,15
155,15
156,15
157,15
158,15
159,15
160,16
161,17
162,18
163,19
164,20
165,16
166,16
167,16
168,16
169,16
170,17
171,18
172,19
173,20
174,21
175,22
176,17
177,17
178,17
179,17
180,18
181,19
182,20
183,21
184,22
185,23
186,24
187,18
188,18
189,18
190,19
191,20
192,21
193,22
194,23
195,24
196,25
197,26
198,19
199,19
200,20
201,21
202,22
203,23
204,24
205,25
206,26
207,27
208,28
209,20
210,21
211,22
212,23
213,24
214,25
215,26
216,27
217,28
218,29
219,30
220,22
221,23
222,24
223,25
224,26
225,27
226,28
227,29
228,30
229,31
230,33
231,45
232,46
233,47
234,48
235,49
236,50
237,51
238,52
239,53
240,54
241,56
242,24
243,24
244,24
245,24
246,24
247,24
248,24
249,24
250,25
251,26
252,27
253,25
254,25
255,25
256,25
257,25
258,25
259,25
260,26
261,27
262,28
263,29
264,26
265,26
266,26
267,26
268,26
269,26
270,27
271,28
272,29
273,30
274,31
275,27
276,27
277,27
278,27
279,27
280,28
281,29
282,30
283,31
284,32
285,33
286,28
287,28
288,28
289,28
290,29
291,30
292,31
293,32
294,33
295,34
296,35
297,29
298,29
299,29
300,30
301,31
302,32
303,33
304,34
305,35
306,36
307,37
308,30
309,30
310,31
311,32
312,33
313,34
314,35
315,36
316,37
317,38
318,39
319,31
320,32
321,33
322,34
323,35
324,36
325,37
326,38
327,39
328,40
329,41
330,33
331,34
332,35
333,36
334,37
335,38
336,39
337,40
338,41
339,42
340,44
341,56
342,57
343,58
344,59
345,60
346,61
347,62
348,63
349,64
350,65
351,67
352,78
353,79
354,80
355,81
356,82
357,83
358,84
359,84
360,86
361,88
362,90
363,36
364,36
365,36
366,36
367,36
368,36
369,36
370,37
371,38
372,39
373,40
374,37
375,37
376,37
377,37
378,37
379,37
380,38
381,39
382,40
383,41
384,42
385,38
386,38
387,38
388,38
389,38
390,39
391,40
392,41
393,42
394,43
395,44
396,39
397,39
398,39
399,39
400,40
401,41
402,42
403,43
404,44
405,45
406,46
407,40
408,40
409,40
410,41
411,42
412,43
413,44
414,45
415,46
416,47
417,48
418,41
419,41
420,42
421,43
422,44
423,45
424,46
425,47
426,48
427,49
428,50
429,42
430,43
431,44
432,45
433,46
434,47
435,48
436,49
437,50
438,51
439,52
440,44
441,45
442,46
443,47
444,48
445,49
446,50
447,51
448,52
449,53
450,55
451,67
452,68
453,69
454,70
455,71
456,72
457,73
458,74
459,75
460,76
461,78
462,89
463,90
464,91
465,92
466,93
467,94
468,95
469,95
470,97
471,99
472,101
473,111
474,112
475,113
476,114
477,115
478,115
479,116
480,118
481,120
482,122
483,124
484,48
485,48
486,48
487,48
488,48
489,48
490,49
491,50
492,51
493,52
494,53
495,49
496,49
497,49
498,49
499,49
500,50
501,51
502,52
503,53
504,54
505,55
506,50
507,50
508,50
509,50
510,51
511,52
512,53
513,54
514,55
515,56
516,57
517,51
518,51
519,51
520,52
521,53
522,54
523,55
524,56
525,57
526,58
527,59
528,52
529,52
530,53
531,54
532,55
