x, n0
0, 0
1, 1
2, 2
3, 4
4, 4
5, 6
6, 9
7, 12
8, 8
9, 10
10, 13
11, 16
12, 24
13, 26
14, 28
15, 32
16, 16
17, 18
18, 21
19, 24
20, 32
21, 34
22, 36
23, 40
24, 50
25, 57
26, 60
27, 65
28, 64
29, 68
30, 73
31, 80
32, 32
33, 34
34, 37
35, 40
36, 48
37, 50
38, 52
39, 56
40, 66
41, 73
42, 76
43, 81
44, 80
45, 84
46, 89
47, 96
48, 112
49, 113
50, 122
51, 130
52, 130
53, 138
54, 149
55, 161
56, 134
57, 146
58, 152
59, 164
60, 165
61, 177
62, 180
63, 192
64, 64
65, 66
66, 69
67, 72
68, 80
69, 82
70, 84
71, 88
72, 98
73, 105
74, 108
75, 113
76, 112
77, 116
78, 121
79, 128
80, 144
81, 145
82, 154
83, 162
84, 162
85, 170
86, 181
87, 193
88, 166
89, 178
90, 184
91, 196
92, 197
93, 209
94, 212
95, 224
96, 224
97, 234
98, 258
99, 262
100, 272
101, 276
102, 290
103, 304
104, 290
105, 294
106, 304
107, 320
108, 334
109, 342
110, 354
111, 370
112, 300
113, 308
114, 322
115, 336
116, 332
117, 340
118, 364
119, 388
120, 366
121, 374
122, 386
123, -1
124, 396
125, -1
126, -1
127, -1
128, 128
129, 130
130, 133
131, 136
132, 144
133, 146
134, 148
135, 152
136, 162
137, 169
138, 172
139, 177
140, 176
141, 180
142, 185
143, 192
144, 208
145, 209
146, 218
147, 226
148, 226
149, 234
150, 245
151, 257
152, 230
153, 242
154, 248
155, 260
156, 261
157, 273
158, 276
159, 288
160, 288
161, 298
162, 322
163, 326
164, 336
165, 340
166, 354
167, 368
168, 354
169, 358
170, 368
171, 384
172, 398
173, -1
174, -1
175, -1
176, 364
177, 372
178, 386
179, 400
180, 396
181, -1
182, -1
183, -1
184, -1
185, -1
186, -1
187, -1
188, -1
189, -1
190, -1
191, -1
192, -1
193, -1
194, -1
195, -1
196, -1
197, -1
198, -1
199, -1
200, -1
201, -1
202, -1
203, -1
204, -1
205, -1
206, -1
207, -1
208, -1
209, -1
210, -1
211, -1
212, -1
213, -1
214, -1
215, -1
216, -1
217, -1
218, -1
219, -1
220, -1
221, -1
222, -1
223, -1
224, -1
225, -1
226, -1
227, -1
228, -1
229, -1
230, -1
231, -1
232, -1
233, -1
234, -1
235, -1
236, -1
237, -1
238, -1
239, -1
240, -1
241, -1
242, -1
243, -1
244, -1
245, -1
246, -1
247, -1
248, -1
249, -1
250, -1
251, -1
252, -1
253, -1
254, -1
255, -1
256, 256
257, 258
258, 261
259, 264
260, 272
261, 274
262, 276
263, 280
264, 290
265, 297
266, 300
267, 305
268, 304
269, 308
270, 313
271, 320
272, 336
273, 337
274, 346
275, 354
276, 354
277, 362
278, 373
279, 385
280, 358
281, 370
282, 376
283, 388
284, 389
285, -1
286, -1
287, -1
288, -1
289, -1
290, -1
291, -1
292, -1
293, -1
294, -1
295, -1
296, -1
297, -1
298, -1
299, -1
300, -1
301, -1
302, -1
303, -1
304, -1
305, -1
306, -1
307, -1
308, -1
309, -1
310, -1
311, -1
312, -1
313, -1
314, -1
315, -1
316, -1
317, -1
318, -1
319, -1
320, -1
321, -1
322, -1
323, -1
324, -1
325, -1
326, -1
327, -1
328, -1
329, -1
330, -1
331, -1
332, -1
333, -1
334, -1
335, -1
336, -1
337, -1
338, -1
339, -1
340, -1
341, -1
342, -1
343, -1
344, -1
345, -1
346, -1
347, -1
348, -1
349, -1
350, -1
351, -1
352, -1
353, -1
354, -1
355, -1
356, -1
357, -1
358, -1
359, -1
360, -1
361, -1
362, -1
363, -1
364, -1
365, -1
366, -1
367, -1
368, -1
369, -1
370, -1
371, -1
372, -1
373, -1
374, -1
375, -1
376, -1
377, -1
378, -1
379, -1
380, -1
381, -1
382, -1
383, -1
384, -1
385, -1
386, -1
387, -1
388, -1
389, -1
390, -1
391, -1
392, -1
393, -1
394, -1
395, -1
396, -1
397, -1
398, -1
399, -1
