x, n0
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 0
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
76, 0
77, 0
78, 0
79, 0
80, 0
81, 0
82, 0
83, 0
84, 0
85, 0
86, 0
87, 0
88, 0
89, 0
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 0
100, 0
101, 0
102, 0
103, 0
104, 0
105, 0
106, 0
107, 0
108, 0
109, 0
110, 0
111, 0
112, 0
113, 0
114, 0
115, 0
116, 0
117, 0
118, 0
119, 0
120, 0
121, 0
122, 0
123, 0
124, 1
125, 1
126, 1
127, 1
128, 1
129, 2
130, 1
131, 1
132, 1
133, 1
134, 2
135, 1
136, 1
137, 1
138, 1
139, 2
140, 1
141, 1
142, 1
143, 1
144, 2
145, 1
146, 1
147, 1
148, 1
149, 3
150, 1
151, 1
152, 1
153, 1
154, 2
155, 1
156, 1
157, 1
158, 1
159, 2
160, 1
161, 1
162, 1
163, 1
164, 2
165, 1
166, 1
167, 1
168, 1
169, 2
170, 1
171, 1
172, 1
173, 1
174, 3
175, 1
176, 1
177, 1
178, 1
179, 2
180, 1
181, 1
182, 1
183, 1
184, 2
185, 1
186, 1
187, 1
188, 1
189, 2
190, 1
191, 1
192, 1
193, 1
194, 2
195, 1
196, 1
197, 1
198, 1
199, 3
200, 1
201, 1
202, 1
203, 1
204, 2
205, 1
206, 1
207, 1
208, 1
209, 2
210, 1
211, 1
212, 1
213, 1
214, 2
215, 1
216, 1
217, 1
218, 1
219, 2
220, 1
221, 1
222, 1
223, 1
224, 3
225, 1
226, 1
227, 1
228, 1
229, 2
230, 1
231, 1
232, 1
233, 1
234, 2
235, 1
236, 1
237, 1
238, 1
239, 2
240, 1
241, 1
242, 1
243, 1
244, 2
245, 1
246, 1
247, 1
248, 2
249, 4
250, 2
251, 2
252, 2
253, 3
254, 4
255, 2
256, 2
257, 2
258, 3
259, 4
260, 2
261, 2
262, 2
263, 3
264, 4
265, 2
266, 2
267, 2
268, 3
269, 4
270, 2
271, 2
272, 2
273, 4
274, 5
275, 2
276, 2
277, 2
278, 3
279, 4
280, 2
281, 2
282, 2
283, 3
284, 4
285, 2
286, 2
287, 2
288, 3
289, 4
290, 2
291, 2
292, 2
293, 3
294, 4
295, 2
296, 2
297, 2
298, 4
299, 5
300, 2
301, 2
302, 2
303, 3
304, 4
305, 2
306, 2
307, 2
308, 3
309, 4
310, 2
311, 2
312, 2
313, 3
314, 4
315, 2
316, 2
317, 2
318, 3
319, 4
320, 2
321, 2
322, 2
323, 4
324, 5
325, 2
326, 2
327, 2
328, 3
329, 4
330, 2
331, 2
332, 2
333, 3
334, 4
335, 2
336, 2
337, 2
338, 3
339, 4
340, 2
341, 2
342, 2
343, 3
344, 4
345, 2
346, 2
347, 2
348, 4
349, 5
350, 2
351, 2
352, 2
353, 3
354, 4
355, 2
356, 2
357, 2
358, 3
359, 4
360, 2
361, 2
362, 2
363, 3
364, 4
365, 2
366, 2
367, 2
368, 3
369, 4
370, 2
371, 2
372, 3
373, 5
374, 6
375, 3
376, 3
377, 4
378, 5
379, 6
380, 3
381, 3
382, 4
383, 5
384, 6
385, 3
386, 3
387, 4
388, 5
389, 6
390, 3
391, 3
392, 4
393, 5
394, 6
395, 3
396, 3
397, 5
398, 6
399, 7
400, 3
401, 3
402, 4
403, 5
404, 6
405, 3
406, 3
407, 4
408, 5
409, 6
410, 3
411, 3
412, 4
413, 5
414, 6
415, 3
416, 3
417, 4
418, 5
419, 6
420, 3
421, 3
422, 5
423, 6
424, 7
425, 3
